MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.1,1,-0.0005334031814264529,-0.1715,-0.0010648966028597945,-0.2485,-0.0019191870106587613,0.0013420329512128565,-647.0967,-657.4358,0.0,-12.9076,-0.5721,-0.5815,0.1064158330310867,-0.10768898683141807,-0.7083320117181547,-0.7174652726035238,0.06916,-0.0031759999999999965
0.1,2,-0.003792042080224281,-0.3569,-0.006990946328989549,-0.4804,-0.010194968914706134,0.005701554688382684,-634.7948,-654.7462,0.0005613688167728949,-13.3142,-0.569,-0.5784,0.10690432691044142,-0.10881918439524749,-0.7117671288369973,-0.7257813664713915,0.06952,-0.003572000000000002
0.1,3,-0.010261476086530861,-0.5593,-0.016795724394467672,-0.6985,-0.03216713026776427,0.016530027083787653,-621.8026,-650.2537,0.0020245259526026553,-13.813,-0.5636,-0.573,0.10750499271147676,-0.10909002130868632,-0.7160045658169681,-0.7283573180989519,0.07006,-0.004039999999999999
0.1,5,-0.04230652007074863,-0.9935,-0.0543356188343416,-1.0117,-0.14009760535197896,0.11614219553142817,-595.6205,-636.466,0.0005579283473674216,-14.7327,-0.5458,-0.5552,0.10850838732159465,-0.10693022475589493,-0.7230690903993171,-0.7155566343853568,0.07142,-0.005104000000000002
0.1,7,-0.09312512358011946,-1.468,-0.11506377065733644,-1.2379,-0.30518075476758716,0.24193159066726283,-566.7793,-616.9449,0.0013285728680636623,-15.6152,-0.5169,-0.5262,0.10905405909411729,-0.10140609482805144,-0.7269699468883223,-0.6807259202001302,0.07236000000000001,-0.006151999999999998
0.1,10,-0.19709957090918398,-2.2578,-0.22521414336623813,-1.4823,-0.5575550760980356,0.4290834737298472,-517.8976,-581.9749,0.003992107017250804,-16.811,-0.4493,-0.4586,0.10841290270518011,-0.08763999749029724,-0.7214206711285674,-0.5924807941213724,0.0713,-0.00728
0.1,15,-0.528140861927928,-3.6535,-0.4625759060475576,-0.5929,-1.401640810358253,1.8711892557077179,-480.3589,-530.2219,-0.13951653730300465,-17.8939,-0.3109,-0.32,0.1026245254424261,-0.061767781426400714,-0.6787397820016603,-0.4218575628387956,0.06306,-0.007152
0.1,20,-1.0298309173001994,-5.0214,-0.7813419497718403,2.0332,-3.046508051641756,4.806638295171443,-499.5865,-491.7419,-0.5278553139063714,-18.7162,-0.1452,-0.1541,0.09068888181719391,-0.038449295611293545,-0.600564546274058,-0.2670465385725469,0.0504,-0.005183999999999999
0.2,0,0.0,-0.0,0.0,0.0,0.0,0.0,-665.4977,-665.3789,0.0,-12.7967,-0.5704,-0.5798,0.10662144815770483,-0.10662144815770483,-0.709943206079416,-0.709943206079416,0.06938,-0.002631999999999999
0.2,1,-0.0005533143620407154,-0.172,-0.0010581967362228888,-0.2531,-0.001975417889881901,0.0013512807572072052,-653.7225,-664.3713,0.0,-12.9638,-0.5694,-0.5789,0.1069167749379305,-0.10817293731968643,-0.7120665114343916,-0.7211611823073343,0.06949999999999999,-0.0029079999999999996
