MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.1,10,-0.19709957090918398,-2.2578,-0.22521414336623813,-1.4823,-0.5575550760980356,0.4290834737298472,-517.8976,-581.9749,0.003992107017250804,-16.811,-0.4493,-0.4586,6.211601769769246,-5.021401972731159,-41.33435970916228,-33.946648945714074,4.085189079282769,-23.898830228085497
0.1,15,-0.528140861927928,-3.6535,-0.4625759060475576,-0.5929,-1.401640810358253,1.8711892557077179,-480.3589,-530.2219,-0.13951653730300465,-17.8939,-0.3109,-0.32,5.879952182383954,-3.5390331856193167,-38.88892489632469,-24.170657906337905,3.6130718560949715,-23.478631015283995
0.1,20,-1.0298309173001994,-5.0214,-0.7813419497718403,2.0332,-3.046508051641756,4.806638295171443,-499.5865,-491.7419,-0.5278553139063714,-18.7162,-0.1452,-0.1541,5.196090176885923,-2.202982363777999,-34.409813826692755,-15.300639593784481,2.887707287459349,-17.018068118460878
0.2,0,0.0,-0.0,0.0,0.0,0.0,0.0,-665.4977,-665.3789,0.0,-12.7967,-0.5704,-0.5798,6.1089589850093935,-6.1089589850093935,-40.67674940233698,-40.67674940233698,3.9751811826176513,-8.640346313230905
0.2,1,-0.0005533143620407154,-0.172,-0.0010581967362228888,-0.2531,-0.001975417889881901,0.0013512807572072052,-653.7225,-664.3713,0.0,-12.9638,-0.5694,-0.5789,6.125879963093512,-6.197852765951228,-40.79840583779461,-41.31949209487479,3.982056676159221,-9.54640086583415
0.2,2,-0.003831529219345895,-0.3579,-0.006943313033136359,-0.4896,-0.010395381988543733,0.005802771584310167,-641.1157,-661.6864,0.0005613688167728949,-13.3708,-0.5661,-0.5755,6.153843961832813,-6.261497942657923,-40.99585035668263,-41.78389025832317,4.001537241193669,-10.88578585663894
0.2,3,-0.010269643312095284,-0.5608,-0.01687705085976989,-0.7123,-0.03253596661187372,0.01674660654683817,-627.8484,-657.2212,0.002067999440240271,-13.8697,-0.5602,-0.5696,6.187940291098429,-6.273435542184259,-41.23802415720844,-41.910140794241215,4.032476962130734,-12.54032025704485
0.2,5,-0.04240300961374268,-0.9964,-0.05446024391819334,-1.0326,-0.14182591641311076,0.11774055717658134,-601.3748,-643.6365,0.0005344006653981902,-14.7888,-0.541,-0.5504,6.24372709245937,-6.142288389743243,-41.63780037629706,-41.12488996962374,4.111545137858788,-16.387769299258615
0.2,7,-0.09359644417782949,-1.4727,-0.11557708254138929,-1.2629,-0.31007934187478686,0.24605172007137843,-572.615,-624.5057,0.0013465801762468218,-15.6723,-0.5102,-0.5196,6.2738306803253625,-5.8162573699282145,-41.847721461674375,-39.06662819514399,4.163111339420562,-20.19582466527226
0.2,10,-0.19797031089985476,-2.267,-0.22603608279602302,-1.5109,-0.5639540148615525,0.4351204849212314,-524.4238,-590.1385,0.004073632214735302,-16.8615,-0.4385,-0.4478,6.231666446218266,-5.008824184648734,-41.4892582725804,-33.89306596074871,4.096648235185386,-24.30589821548696
0.2,15,-0.528770409094734,-3.6791,-0.46296910034804317,-0.6071,-1.412233676018236,1.8792129183270667,-490.1042,-539.389,-0.14010695417553284,-17.9148,-0.2984,-0.3075,5.892397554220027,-3.5429144358526288,-38.971354481350474,-24.22650304603629,3.6130718560949715,-23.846305326485307
0.2,20,-1.031085054667787,-5.0734,-0.7837927194788099,2.0752,-3.0745957160494304,4.823491759378095,-512.6168,-501.7972,-0.5291338645412371,-18.7463,-0.135,-0.1439,5.202649419126821,-2.2936656676846643,-34.46303846804173,-15.927907262913143,2.887707287459349,-16.768574835859983
0.3,0,0.0,-0.0,0.0,0.0,0.0,0.0,-676.1807,-676.0621,0.0,-12.8895,-0.5674,-0.5769,6.150190116771748,-6.150190116771748,-40.97678685753467,-40.97678685753467,4.0061209035547165,-8.417115481430102
0.3,1,-0.0005171935700977681,-0.1728,-0.0010098799422814174,-0.2596,-0.0020461428931506614,0.00135259297007906,-663.7864,-675.0494,0.0,-13.056,-0.5664,-0.5759,6.167013932682163,-6.23625399734752,-41.09527657307038,-41.59573860396791,4.012996397096286,-9.296907583233256
0.3,2,-0.0037917271897337005,-0.3595,-0.006952146190787312,-0.5025,-0.0102511209435789,0.005709547998027176,-650.5765,-672.3643,0.0005613688167728949,-13.4613,-0.563,-0.5724,6.193846977964128,-6.2944475177907595,-41.286931416304725,-42.031868748886616,4.031331046540473,-10.662555024838152
0.3,3,-0.010249800650000545,-0.5633,-0.01680572697729028,-0.7311,-0.03234510017924136,0.01658554409748723,-636.7888,-667.9548,0.00208600674842343,-13.9573,-0.5569,-0.5663,6.227148560327679,-6.301934732242098,-41.522113743294845,-42.12376770849251,4.061124851887275,-12.343351876044169
0.3,5,-0.042546570817993824,-1.0007,-0.0544578058653881,-1.0603,-0.1422481050604775,0.11838047359825463,-609.8354,-654.7672,0.0005344006653981902,-14.869,-0.5374,-0.5468,6.280212569564708,-6.158242688953087,-41.903605293650955,-41.25330782702115,4.136755280844544,-16.269588270658204
0.3,7,-0.09400289341857475,-1.4791,-0.1160227217213717,-1.2961,-0.31180662191548447,0.2482148842799681,-581.2963,-636.2327,0.0013514529187282501,-15.7466,-0.506,-0.5153,6.305943922067005,-5.817242640420907,-42.089460343621624,-39.095917505926195,4.1837378200452715,-20.156430989072103
0.3,10,-0.19872340360239232,-2.2785,-0.22693991377392944,-1.5489,-0.5661757255350088,0.43753930499193633,-534.3273,-602.7401,0.004386942158749196,-16.9278,-0.4328,-0.4421,6.256072359102531,-4.978778248198555,-41.67448576094543,-33.717068973573,4.1103992222685255,-24.38468556788724
0.3,15,-0.5296422454321663,-3.7079,-0.4631516518468609,-0.6303,-1.413794847249825,1.8857728302565318,-504.1489,-553.3414,-0.14105415447971256,-17.9332,-0.2909,-0.3,5.906418359810844,-3.545598508543437,-39.07656978271563,-24.265332851311054,3.6073422781436633,-24.003880031285874
0.3,20,-1.032668268577666,-5.1282,-0.7880451296053196,2.119,-3.107956154744916,4.837887359146757,-531.6295,-516.4788,-0.5303301812262358,-18.7994,-0.1253,-0.1342,5.208586073484299,-2.4197030704781475,-34.51908603027985,-16.784090704360253,2.887707287459349,-16.847362188260274
0.45,0,0.0,-0.0,0.0,0.0,0.0,0.0,-704.181,-704.0624,0.0,-13.1214,-0.5623,-0.5718,6.259484673100125,-6.259484673100125,-41.737335058343724,-41.737335058343724,4.085189079282769,-8.298934452829679
0.45,1,-0.0005686162760886468,-0.1747,-0.0011014285871200355,-0.2741,-0.001922108941081916,0.0013116172852838677,-690.4363,-703.0136,0.0,-13.2875,-0.5613,-0.5707,6.275076150750344,-6.339164440368953,-41.847925781250595,-42.31351701420585,4.090918657234077,-9.165595329232787
0.45,2,-0.003794569013983323,-0.3634,-0.006974537463656679,-0.5308,-0.00977707981961324,0.005481289356660025,-675.9034,-700.2739,0.0005848964987421264,-13.6914,-0.5577,-0.5671,6.300046667220137,-6.393012167177198,-42.02806949869494,-42.71852491032471,4.108107391088002,-10.557505221637772
0.45,3,-0.010240814040390128,-0.5693,-0.016811443346106868,-0.7721,-0.0315226851100623,0.01594992931349947,-661.0034,-695.9397,0.002158528291816349,-14.1846,-0.5515,-0.5609,6.331167215410628,-6.395889512607895,-42.249551681294854,-42.7850312447709,4.135609365254282,-12.26456452364388
0.45,5,-0.04286595313497298,-1.0109,-0.05480447275541048,-1.1212,-0.14191745119722105,0.11876924119004972,-633.181,-683.5223,0.0006762099920895158,-15.0853,-0.5315,-0.5409,6.381544025019928,-6.236007137440308,-42.61133485897939,-41.80256837315693,4.2043643006699805,-16.269588270658204
0.45,7,-0.09488725819807939,-1.4942,-0.11687745674223936,-1.3712,-0.3119487017310658,0.24974643280033318,-605.2589,-665.8037,0.0017033636078983292,-15.955,-0.4995,-0.5089,6.404086428155123,-5.871330757509859,-42.776279639644606,-39.48891597428331,4.247909093099923,-20.208955890672293
0.45,10,-0.2005134731361736,-2.304,-0.2293640259231957,-1.6417,-0.5717426371850255,0.4395057885125737,-560.5575,-633.5115,0.006429475419535009,-17.1564,-0.4247,-0.434,6.344180006877574,-4.967788089955622,-42.29665385629161,-33.673199624892845,4.164257255010823,-24.568522723487888
0.45,15,-0.5326579731582454,-3.7635,-0.4643390149409242,-0.7156,-1.4161581153972633,1.8993143379746715,-536.8371,-585.9554,-0.14196180689233312,-18.0536,-0.2802,-0.2893,5.968100094289123,-3.5887958584088198,-39.516203664279175,-24.582564517563945,3.6188014340462797,-24.332160666287052
0.45,20,-1.0407841299260867,-5.2234,-0.8037925995233516,2.1421,-3.1929198914350763,4.883909598157685,-573.91,-549.4249,-0.5332023712203933,-19.017,-0.1108,-0.1197,5.260128583771566,-2.6726631323630308,-34.881886760431286,-18.508307814787653,2.909479683674321,-17.201905274061538
0.6,0,0.0,-0.0,0.0,0.0,0.0,0.0,-753.64,-753.519,0.0,-13.5311,-0.556,-0.5654,6.493703907070732,-6.493703907070732,-43.323661532530764,-43.323661532530764,4.2318662748362605,-8.692871214831088
0.6,1,-0.0005708850121780658,-0.178,-0.001154856752211893,-0.2968,-0.0018920737792518857,0.0013198219293757804,-737.285,-752.2737,0.0,-13.7039,-0.5549,-0.5643,6.511173380595667,-6.582481446112116,-43.446126215651745,-43.96468357389197,4.237595852787568,-9.5857945420343
0.6,2,-0.003859239736704866,-0.3702,-0.007140646879765658,-0.5757,-0.009743316503767068,0.005381648523012224,-720.1249,-749.2017,0.0006313042313759454,-14.1242,-0.5513,-0.5607,6.538345071708219,-6.643324806520611,-43.64485893290805,-44.418002276116184,4.257076417822017,-10.977704434439273
0.6,3,-0.010463927850511926,-0.5799,-0.0171720470948407,-0.8387,-0.03185636271041472,0.015904867967880335,-703.2123,-744.968,0.002390218838779109,-14.6368,-0.545,-0.5544,6.572863585610023,-6.647147719997931,-43.88783543372007,-44.49092205676272,4.286870223168819,-12.697894961845428
0.6,5,-0.04399260680592949,-1.0294,-0.056276693727113705,-1.2258,-0.14455328976677784,0.12158975077707503,-675.4843,-734.8906,0.0011983304324015799,-15.5689,-0.525,-0.5343,6.627750631929887,-6.465199499187257,-44.28458647790763,-43.36624352116451,4.36364656771635,-16.689787483459707
0.6,7,-0.09719830748301478,-1.5219,-0.1198061582681029,-1.5102,-0.3177866281764415,0.2550798462101848,-651.3428,-718.8946,0.0033028096966333433,-16.4739,-0.4928,-0.5021,6.651761909478423,-6.062632596370224,-44.45815759750648,-40.795370933572016,4.411775022507339,-20.550367751073516
0.6,10,-0.20432079854702356,-2.3499,-0.23394609107678346,-1.8372,-0.5761018464670283,0.44298621526711707,-611.0535,-687.8895,0.011403002898899802,-17.721,-0.4172,-0.4265,6.581569437498678,-5.030987834229892,-43.9052982228987,-34.12705333365759,4.317809944105885,-25.080640514089716
0.6,15,-0.5397758723674868,-3.8477,-0.46950296053530377,-0.9275,-1.4248958108318237,1.9211192099120762,-598.0683,-643.8395,-0.14148380757096335,-18.4267,-0.2698,-0.2789,6.145517049678397,-3.8258800365760774,-40.71497236665981,-26.213021982943914,3.684118622691193,-25.19882154269015
0.6,20,-1.066675467388055,-5.3571,-0.8454125058033518,2.0858,-3.410685125516557,5.020809190954586,-655.5055,-608.1121,-0.5350845216243596,-19.702,-0.0934,-0.1022,5.466369672685477,-3.289573898791662,-36.27554316003039,-22.697699992688552,3.033238567422578,-18.606946391866565
