time,thrust
0.0,1.7597319587628864
0.01,1.860865979381443
0.02,1.8406391752577316
0.03,1.8810927835051547
0.04,1.6585979381443297
0.05,2.1844948453608244
0.06,2.022680412371134
0.07,2.0631340206185564
0.08,2.1844948453608244
0.09,2.0631340206185564
0.1,2.26540206185567
0.11,2.326082474226804
0.12,2.3665360824742265
0.13,2.447443298969072
0.14,2.447443298969072
0.15,2.56880412371134
0.16,2.7710721649484533
0.17,2.9126597938144325
0.18,2.9126597938144325
0.19,3.034020618556701
0.2,3.17560824742268
0.21,3.17560824742268
0.22,3.3981030927835048
0.23,3.5194639175257727
0.24,3.8633195876288657
0.25,4.368989690721649
0.26,4.793752577319587
0.27,5.582597938144329
0.28,6.027587628865978
0.29,6.553484536082474
0.3,7.403010309278351
0.31,8.31321649484536
0.32,9.567278350515462
0.33,10.356123711340205
0.34,10.922474226804123
0.35000000000000003,11.104515463917524
0.36,11.34723711340206
0.37,10.902247422680412
0.38,11.165195876288658
0.39,11.670865979381443
0.4,12.196762886597938
0.41000000000000003,12.884474226804123
0.42,14.017175257731958
0.43,15.71622680412371
0.44,16.950061855670103
0.45,18.9120618556701
0.46,22.107896907216492
0.47200000000000003,26.840969072164945
0.482,30.886329896907213
0.492,36.064391752577315
0.502,43.5280824742268
0.512,48.90841237113401
0.522,55.17872164948454
0.532,62.46037113402062
0.542,69.53975257731959
0.552,73.48397938144329
0.562,74.83917525773195
0.5720000000000001,75.78983505154639
0.582,76.19437113402061
0.592,76.92253608247421
0.602,77.32707216494845
0.612,79.43065979381443
0.622,80.9881237113402
0.632,82.70740206185567
0.642,88.02705154639175
0.652,92.23422680412371
0.662,95.36938144329896
0.672,100.74971134020618
0.682,107.86954639175256
0.6920000000000001,114.76688659793814
0.7020000000000001,121.62377319587628
0.712,129.16837113402062
0.722,136.51070103092783
0.732,141.6887628865979
0.742,151.23581443298968
0.752,160.15583505154638
0.762,161.12672164948452
0.772,170.83558762886597
0.782,171.84692783505153
0.792,177.18680412371134
0.802,181.61647422680412
0.812,183.88187628865978
0.8220000000000001,187.48224742268042
0.8320000000000001,191.54783505154637
0.842,193.327793814433
0.852,199.73969072164948
0.862,203.137793814433
0.872,203.3602886597938
0.882,212.42189690721648
0.892,203.9468659793814
0.902,216.50771134020616
0.912,218.3281237113402
0.922,216.83134020618556
0.932,225.75136082474228
0.9420000000000001,231.25305154639176
0.9520000000000001,233.6600412371134
0.962,231.88008247422675
0.972,237.92789690721645
0.982,238.5549278350515
0.992,249.96284536082473
1.002,248.122206185567
1.012,245.9983917525773
1.022,254.63523711340207
1.032,253.64412371134017
1.042,254.008206185567
1.052,265.0924948453608
1.062,262.2809690721649
1.072,276.1565567010309
1.082,260.27851546391753
1.092,270.67509278350514
1.102,278.2803711340206
1.112,272.15164948453605
