MACH,ALPHA,CYPHI,CN0,CNPHI,Cm0,CmPHI,CnPHI,CmQ,CnR,ClPHI,ClP,CAon,CAoff,CYDELTAR,CNDELTAQ,CnDELTAR,CmDELTAQ,ClDELTAP,CADELTAEFF2
0.2,7,-0.11389895536329742,-1.5248,-0.12477073093895506,-2.4939,-0.5197874010770976,0.505982753940736,-1183.8048,-1140.798,-0.01768907277843485,-16.0074,-0.5926,-0.602,6.266188823074228,-6.21658995903993,-53.28143237529185,-53.05539485896163,4.112691053449049,-16.4665566516589
0.2,10,-0.25864590215787664,-2.3789,-0.228815937579041,-3.1734,-1.0065694670249221,1.1605929309113947,-1194.9894,-1119.2355,-0.03939617871475284,-17.3007,-0.5207,-0.53,6.331864087591894,-6.1146087012275085,-53.47749602511762,-52.17082878365277,4.144776689976375,-19.014014379268012
0.2,15,-0.6109655075094247,-3.999,-0.4420755797230824,-3.71,-1.8648884632909801,3.6293515482266567,-1199.6725,-1064.0115,-0.14825992910125513,-19.0949,-0.3139,-0.323,6.23501094630924,-5.799330453994505,-52.98473534593458,-49.76839027895232,4.056541189526229,-20.852385935274597
0.2,20,-0.9774491126588999,-5.9577,-0.6028481693800136,-4.1787,-2.7435933420667733,6.219957229996367,-1190.3214,-981.5524,-0.2779459746548871,-20.195,-0.0059,-0.0147,5.846783107412911,-5.236261894067798,-49.599928996403904,-45.1723604233834,3.7964183505368347,-20.563498976473568
0.2,25,-1.201917192381928,-8.1716,-0.7983339082597832,-4.4469,-4.276925768432662,7.687926955188455,-1163.1371,-915.473,-0.36859032227265925,-20.6284,0.3565,0.3479,5.407071533530246,-4.279781140052975,-45.67705095263911,-37.126477071070816,3.3781591600913337,-18.462502912466046
0.3,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1174.3123,-1174.0591,0.0,-13.117,-0.6469,-0.6563,6.150190116771748,-6.150190116771748,-52.27684814939217,-52.27684814939217,4.0061209035547165,-8.456509157630254
0.3,1,-0.00046302733797061614,-0.1792,-0.0009768835401089745,-0.4637,-0.003219179945960657,0.002080943949447906,-1178.8481,-1173.1268,0.0,-13.2836,-0.646,-0.6554,6.164739278922068,-6.226860478367106,-52.40672595204455,-52.96599298082392,4.011850481506024,-9.204989005432923
0.3,2,-0.003548172250118181,-0.3741,-0.006434765968958837,-0.9106,-0.017636702862347888,0.010358379011881207,-1183.7885,-1172.0724,0.0003042120903556789,-13.6944,-0.6429,-0.6523,6.187343753631772,-6.283050645308341,-52.606066512078854,-53.48488816923383,4.025601468589164,-10.268618262836728
0.3,3,-0.009506919489674085,-0.5876,-0.01527249430858418,-1.3461,-0.04643328929745044,0.027581319996294797,-1188.63,-1171.0453,0.001292947384687775,-14.2083,-0.6374,-0.6468,6.213462827435139,-6.310301620402265,-52.84018778473243,-53.74545427963018,4.045082033623612,-11.463559774241014
0.3,5,-0.05227161558944042,-1.0317,-0.0609063662191914,-1.9712,-0.2528307616912136,0.23558559559154071,-1197.109,-1166.5704,-0.008552201439103234,-15.1524,-0.6193,-0.6287,6.2611047242438955,-6.295986358979516,-53.25781729282509,-53.69047634298947,4.0874809104632925,-13.748392993849187
0.3,7,-0.11443975331487205,-1.5308,-0.12522987629540402,-2.5324,-0.5243617019518916,0.5110789263400386,-1202.8627,-1159.2198,-0.017856348284580627,-16.0807,-0.5885,-0.5979,6.301566476588722,-6.237904962834681,-53.61002740415487,-53.25816043608278,4.136755280844544,-16.335244397658432
0.3,10,-0.2589756076440014,-2.3917,-0.22926879715453075,-3.2229,-1.0119765920444779,1.166785241656236,-1214.4824,-1138.0272,-0.039031129063452324,-17.3701,-0.5159,-0.5252,6.363997954450016,-6.131944383978213,-53.783239608286,-52.33795921908717,4.166549086191346,-18.93522702686774
0.3,15,-0.6129331160886613,-4.0323,-0.4420764759039852,-3.7465,-1.8742136477240163,3.6552405258131495,-1219.6506,-1083.6261,-0.14823933566428207,-19.1568,-0.306,-0.3151,6.2661238987390995,-5.814380648153919,-53.275328741717914,-49.91650656122947,4.074875838970415,-20.786729808274366
0.3,20,-0.979705489112048,-6.0266,-0.6027509920450029,-4.1666,-2.7591432724939575,6.253447448401353,-1210.0764,-1001.821,-0.27691088665870867,-20.2385,0.0093,0.0004,5.864076754194995,-5.24329019681689,-49.776113567699156,-45.25674319570127,3.810169337619975,-20.563498976473564
0.3,25,-1.2039265799705157,-8.294,-0.7993532515986765,-4.3357,-4.3072882222380535,7.723883897294204,-1183.2841,-939.7241,-0.3666462822048221,-20.6328,0.3838,0.3752,5.414773644650084,-4.3080866016323105,-45.76870294563388,-37.38857173351653,3.3827428224523803,-18.580683941066468
0.4,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1199.4526,-1199.1906,0.0,-13.2444,-0.6431,-0.6525,6.209565801443261,-6.209565801443261,-52.800412106188936,-52.800412106188936,4.051957527165182,-8.285803227429648
0.4,1,-0.0004648495736491291,-0.1803,-0.0009394014853965145,-0.4741,-0.0031960621562580295,0.002033946635752989,-1203.9751,-1198.2793,0.0,-13.4099,-0.6422,-0.6516,6.222886858643754,-6.280044312084176,-52.92310831443753,-53.44492776731683,4.056541189526229,-9.02115184983227
0.4,2,-0.0035036154841933623,-0.3761,-0.006535437296198342,-0.9309,-0.017190819856509235,0.010115319943556826,-1208.9791,-1197.2709,0.0003042120903556789,-13.8176,-0.6389,-0.6484,6.244200416568624,-6.331621241907082,-53.11304275405257,-53.918980966010515,4.069146261019107,-10.111043558036165
0.4,3,-0.009453564261873621,-0.5908,-0.01514222959746742,-1.3754,-0.045613169942434195,0.027008775806674237,-1213.9634,-1196.2866,0.001292947384687775,-14.3274,-0.6334,-0.6428,6.268758515025371,-6.353416503162611,-53.335339464757226,-54.13859829916626,4.086334994873031,-11.29285384404041
0.4,5,-0.052443759570172624,-1.0369,-0.06109637353514466,-2.0127,-0.25327949131386857,0.23669808467990286,-1222.7875,-1191.7959,-0.00866073759886247,-15.2638,-0.6151,-0.6245,6.313766786067231,-6.331885086761988,-53.72977515872421,-54.016495824300485,4.126442040532189,-13.60394951444867
0.4,7,-0.11495377683037447,-1.5387,-0.12574603726007275,-2.5824,-0.5269884870002379,0.5147671516625437,-1228.7683,-1184.4518,-0.017946877136156707,-16.185,-0.5842,-0.5935,6.351266674698064,-6.267155995224643,-54.05600914743553,-53.5256743185434,4.172278664142654,-16.203932143657962
0.4,10,-0.25939409403156494,-2.4072,-0.22982840741184418,-3.2861,-1.0146353738848974,1.1703154020466942,-1240.9142,-1163.731,-0.038514524600497625,-17.4666,-0.5109,-0.5202,6.408661775605901,-6.154955486017916,-54.193961781675135,-52.560743068238175,4.198634722718673,-18.817045998267314
0.4,15,-0.6158370432679978,-4.0695,-0.442136017197039,-3.8001,-1.8766318326354867,3.683396479395347,-1246.559,-1110.1946,-0.14809155112806202,-19.2473,-0.2983,-0.3075,6.309369972452785,-5.836292354362149,-53.66971853933536,-50.121095121766295,4.100085981956171,-20.681680005073982
0.4,20,-0.982989523444774,-6.101,-0.6026880425301615,-4.1771,-2.7646503555861988,6.287875250941444,-1236.4408,-1029.0046,-0.27496204879822533,-20.3061,0.024,0.0152,5.887540499675163,-5.252218558381463,-50.00677405428032,-45.353045370927,3.8319417338349453,-20.524105300273423
0.4,25,-1.2069371183625581,-8.4232,-0.8008743175074374,-4.2484,-4.332986120809522,7.759922168477217,-1209.9093,-973.4437,-0.3632806044686886,-20.6387,0.4109,0.4024,5.425385346040676,-4.3466980973533484,-45.881405047812855,-37.74062540517767,3.388472400403689,-18.75138987126708
0.5,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1240.3827,-1240.1145,0.0,-13.4383,-0.639,-0.6484,6.3205494062542815,-6.3205494062542815,-53.76525040134644,-53.76525040134644,4.124150209351666,-8.403984256030057
0.5,1,-0.00047596486773226023,-0.1818,-0.0009511647507235397,-0.4884,-0.0030972450693694214,0.0020178177561906733,-1244.7528,-1239.1813,0.0,-13.6043,-0.638,-0.6475,6.333659444238426,-6.391421566611897,-53.88613952728974,-54.408808727917275,4.128733871712712,-9.165595329232787
0.5,2,-0.0035013515442234196,-0.3792,-0.006481654255674946,-0.9589,-0.01655996987585615,0.009831445459261519,-1249.649,-1238.1123,0.0003042120903556789,-14.013,-0.6348,-0.6442,6.3544688587812255,-6.444632091247458,-54.073432989500716,-54.90016342815204,4.14133894320559,-10.242355812036635
0.5,3,-0.009417467316005887,-0.5955,-0.01515607251112617,-1.4159,-0.04465510747470363,0.026307070945743378,-1254.5728,-1236.9749,0.001292947384687775,-14.5243,-0.6292,-0.6387,6.379110846462844,-6.46991197674296,-54.29423155398128,-55.15124331682049,4.159673592649776,-11.450428548840971
0.5,5,-0.05277057547119882,-1.0447,-0.061391092077645384,-2.072,-0.25346567574240747,0.23782936065646068,-1263.3049,-1231.8827,-0.008684265280831702,-15.4644,-0.6109,-0.6203,6.424558701151836,-6.454492564032868,-54.694600646477525,-55.080647527718114,4.199780638308934,-13.748392993849187
0.5,7,-0.11575174821652988,-1.5505,-0.1263481994633618,-2.6575,-0.5279269599032881,0.5179799725714906,-1269.0569,-1223.9535,-0.017875003224068434,-16.3887,-0.5799,-0.5893,6.464803310466412,-6.393449497821087,-55.0437821176528,-54.622868575640844,4.243325430738877,-16.34837562305849
0.5,10,-0.260011212882742,-2.4283,-0.23018723934446145,-3.3844,-1.0107963520436636,1.1709651033204511,-1281.0566,-1202.7402,-0.037303839847736914,-17.662,-0.5064,-0.5156,6.524006683802085,-6.286166897254794,-55.20712380107154,-53.69959783340705,4.271973320495418,-18.948358252267784
0.5,15,-0.6203767046279608,-4.115,-0.44050854266629574,-3.9032,-1.8577306827883655,3.7191860112609203,-1286.4841,-1148.2418,-0.14759761145563885,-19.4531,-0.2917,-0.3008,6.425370821855893,-5.976469750818842,-54.68528638194629,-51.33316108203432,4.181445988864748,-20.786729808274366
0.5,20,-0.9918573351245232,-6.1882,-0.5992377649042384,-4.2665,-2.7250671043909502,6.360316494137473,-1274.9275,-1065.416,-0.27227664208170127,-20.5133,0.0376,0.0287,5.999027764203372,-5.38162368979168,-50.982596743730866,-46.470569949761526,3.9133017407435227,-20.734204906674176
0.5,25,-1.218295890117091,-8.6083,-0.8003708727011121,-4.1662,-4.317347366489063,7.853876450868932,-1248.1971,-1017.1171,-0.35754061131202935,-20.7867,0.4472,0.4386,5.525442742635483,-4.502663122188655,-46.76334032914334,-39.09742355456619,3.4537895890486023,-19.237245211068814
0.6,0,0.0,-0.0,0.0,0.0,0.0,0.0,-1293.6011,-1293.3191,0.0,-13.7132,-0.6341,-0.6434,6.493576579752432,-6.493576579752432,-55.25135553662725,-55.251193479690336,4.230720359245998,-8.706002440231149
0.6,1,-0.00047433864751464714,-0.184,-0.000883679689337566,-0.5073,-0.003021022393552146,0.001998936083117877,-1297.708,-1292.3459,0.0,-13.8819,-0.6331,-0.6425,6.508156189318219,-6.571772805763227,-55.385115886871866,-55.9625047840712,4.236449937197307,-9.467613513433875
0.6,2,-0.0035451267702871206,-0.3836,-0.006425978839889599,-0.9959,-0.01605143615840964,0.009502635259528776,-1302.3981,-1291.1558,0.00036569288617645376,-14.2972,-0.6299,-0.6392,6.531183504714705,-6.6305041556489295,-55.59096078563392,-56.49924794732065,4.250200924280446,-10.544373996237727
0.6,3,-0.009452844814661823,-0.6021,-0.01522969670316862,-1.4699,-0.04352925953860571,0.02548926513724714,-1307.1685,-1289.7583,0.0014014835444470129,-14.8166,-0.6243,-0.6337,6.558015095451838,-6.657987574420119,-55.83163073939596,-56.767256592758045,4.269681489314895,-11.752446733042047
0.6,5,-0.053278542637847585,-1.0558,-0.061804906858831485,-2.1525,-0.2526735768288561,0.2388561599277279,-1315.5767,-1283.7299,-0.008619850240014722,-15.7704,-0.606,-0.6154,6.60649508754111,-6.640749166939086,-56.259665838492424,-56.686594834250656,4.312080366154576,-14.024148727250173
0.6,7,-0.11676589774685489,-1.5669,-0.12722932353103023,-2.7619,-0.5248803463392014,0.5199985815262651,-1320.7448,-1274.735,-0.017499564852929122,-16.706,-0.575,-0.5843,6.64894920641192,-6.577304272872459,-56.62689053499148,-56.21003498966212,4.361354736535826,-16.584737680259344
0.6,10,-0.2608889235618082,-2.4561,-0.23035792729259233,-3.5216,-0.9974106639041692,1.1669956647934931,-1332.1678,-1253.5588,-0.03533740121378746,-17.9775,-0.5014,-0.5106,6.705867677504689,-6.471525688745287,-56.77622021278416,-55.29161170356226,4.39229445747289,-19.06653928086821
0.6,15,-0.626844183518823,-4.1709,-0.4359064526350738,-4.0626,-1.8061727473787825,3.7615311567147383,-1336.7001,-1199.4883,-0.1465081404093046,-19.7474,-0.285,-0.2941,6.600040313449358,-6.165087385656017,-56.19084579080285,-52.94410284256737,4.297183463481174,-20.891779611474742
0.6,20,-1.0028199677501652,-6.299,-0.5941414561799414,-4.3822,-2.6495219751927856,6.436595572927003,-1323.797,-1116.4116,-0.2683169868245743,-20.7496,0.0537,0.0449,6.148193845174714,-5.5475478028070055,-52.283660931734474,-47.888020644990554,4.022163721818379,-21.06248554167535
0.6,25,-1.2352334461349512,-8.9128,-0.7987409058258402,-3.8661,-4.259903434400191,7.976523581836892,-1294.9591,-1080.9081,-0.34957410846905507,-20.9924,0.5101,0.5016,5.670539691334264,-4.754830038144486,-48.03370386065224,-41.27241160545278,3.5305659335961326,-20.077643636671823
