time,thrust
0.0,0.02
0.08099999999998886,3.88
0.117999999999995,7.75
0.1560000000000059,7.75
0.23599999999999,38.65
0.2740000000000009,139.1
0.3119999999999834,270.45
0.39500000000001023,509.98
0.4329999999999927,591.11
0.46999999999999886,641.34
0.5529999999999973,618.16
0.5910000000000082,618.16
0.6289999999999907,618.16
0.7119999999999891,656.79
0.8119999999999834,606.57
0.8959999999999866,614.29
0.9329999999999927,610.43
0.9710000000000036,610.43
1.054000000000002,598.84
1.0919999999999845,606.57
1.1299999999999955,598.84
1.2129999999999939,598.84
1.2510000000000048,606.57
1.2889999999999873,602.7
1.3719999999999857,594.98
1.4089999999999918,587.25
1.4470000000000027,579.52
1.5300000000000011,560.21
1.5679999999999836,556.34
1.6049999999999898,556.34
1.688999999999993,537.03
1.725999999999999,537.03
1.76400000000001,513.85
1.8479999999999848,509.98
1.884999999999991,490.67
1.921999999999997,482.94
2.0049999999999955,467.49
2.0430000000000064,448.17
2.080999999999989,448.17
2.234999999999985,397.95
2.272999999999996,397.95
2.311000000000007,382.49
2.3940000000000055,359.31
2.430999999999983,343.86
2.468999999999994,340.0
2.5519999999999925,328.41
2.5900000000000034,305.22
2.627999999999986,301.36
2.7109999999999843,282.04
2.7489999999999952,270.45
2.7860000000000014,255.0
2.8700000000000045,231.82
2.9070000000000107,231.82
2.9439999999999884,216.37
3.026999999999987,204.78
3.0649999999999977,200.91
3.1030000000000086,193.19
3.186000000000007,177.73
3.2239999999999895,170.01
3.2620000000000005,162.28
3.344999999999999,146.83
3.3830000000000098,139.1
3.4209999999999923,135.24
3.5039999999999907,119.78
3.657999999999987,88.88
3.695999999999998,81.15
3.734000000000009,73.42
3.8160000000000025,65.7
3.8530000000000086,61.83
3.890999999999991,54.11
3.9729999999999848,42.52
4.009999999999991,38.65
4.048000000000002,38.65
4.128999999999991,27.06
4.167000000000002,27.06
4.204999999999984,23.2
4.287000000000006,19.34
4.323999999999984,15.47
4.361999999999995,15.47
4.443999999999988,7.75
4.4809999999999945,7.75
4.518000000000001,7.75
4.5989999999999895,3.88
4.635999999999996,3.88
4.674000000000007,3.88
4.753999999999991,3.88
4.792000000000002,3.88
4.829999999999984,3.88
